Qty,Value,Device,Package,Parts,Description,PROD_ID,VALUE
1,2PT_GND_TIE,2PT_GND_TIE,2PT_GND_TIE,SUPPLY1,Dual Ground Supply,,
16,100n,C-EUC0603,C0603,"C1, C2, C3, C4, C5, C6, C7, C8, C12, C13, C17, C19, C23, C24, C25, C26","CAPACITOR, European symbol",,
2,20p,C-EUC0603,C0603,"C21, C22","CAPACITOR, European symbol",,
1,470pF,C-EUC0603,C0603,C20,"CAPACITOR, European symbol",,
2,2.2u,C-EUC1206,C1206,"C14, C15","CAPACITOR, European symbol",,
2,1u,CPOL-EUA/3216-18R,A/3216-18R,"C10, C11","POLARIZED CAPACITOR, European symbol",,
2,100u,CPOL-EUSMCB,SMC_B,"C16, C18","POLARIZED CAPACITOR, European symbol",,
1,8M,CRYSTALSMD-5X3.2-2PAD,CRYSTAL-SMD-5X3.2-2PAD,Y1,Crystals (Generic),,
4,SS14,DIODE-DO214AC,DO214AC,"D5, D6, D7, D8",DIODE,,
1,GY-86,GY-86,GY-86,MOD1,,,
1,FCM1608-0603,INDUCTOR-0603-33NH,603,L1,Inductors,NDUC-07874,33nH/¡À5%/500mA
1,RST,JUMPER-SMT_2_NO_NO-SILK,SMT-JUMPER_2_NO_NO-SILK,S2,Normally open jumper,,
1,BLUE,LED0603,LED-0603,D4,LED (Generic),,
1,GREEN,LED0603,LED-0603,D1,LED (Generic),,
1,ORANGE,LED0603,LED-0603,D2,LED (Generic),,
1,RED,LED0603,LED-0603,D3,LED (Generic),,
4,IRLR7843,MOSFET-NCH-FDD8780,DPAK,"Q1, Q2, Q3, Q4",N-channel MOSFETs,TRANS-09984,35A/25V/8.5m¦¸
4,5R,R-EU_R0603,R0603,"R21, R22, R23, R24","RESISTOR, European symbol",,
2,22R,R-EU_R0603,R0603,"R8, R9","RESISTOR, European symbol",,
1,47R,R-EU_R0603,R0603,R12,"RESISTOR, European symbol",,
1,220R,R-EU_R0603,R0603,R18,"RESISTOR, European symbol",,
2,510R,R-EU_R0603,R0603,"R4, R13","RESISTOR, European symbol",,
3,680R,R-EU_R0603,R0603,"R5, R6, R7","RESISTOR, European symbol",,
1,100k,R-EU_R0603,R0603,R3,"RESISTOR, European symbol",,
2,10k,R-EU_R0603,R0603,"R11, R25","RESISTOR, European symbol",,
3,4.7k,R-EU_R0603,R0603,"R14, R15, R16","RESISTOR, European symbol",,
1,STM32F407VGT6,STM32F4V_100PIN_GENERIC,LQFP100,U1,,,
1,5V,TPS-MODULE,1X03,MOD2,,,
1,MMBT3904,TRANS_NPN-MMBT2222AL,SOT23-3,Q5,NPN transistor,TRANS-08049,600mA/40V
1,USB,USB_MICRO-B_FEMALE-SMT,USB-B-MICRO-SMD,J21,USB Type Micro-B Connector,CONN-11752,
1,MIC5219 3.3V,V_REG_MIC52193.3V,SOT23-5,U4,V_REG MIC5219,VREG-09872,MIC5219 3.3V
